run_date,ticker,sector,score,entry_price,target_price,stop_price,limit_price,exit_price,exit_day,exit_reason,return_pct,prob,allocation_pct
2025-07-14 20:11,ABF,ConsStaples,85,2087.59,2126.39,2048.78,2115.76,2200.56,5,friday_close,5.41,62.8,20.0
2025-07-14 20:11,BA,Industrials,85,1910.36,1949.27,1871.45,1939.52,1900.36,5,friday_close,-0.52,62.8,20.0
2025-07-14 20:11,LLOY,Banking,85,76.49,77.93,75.05,77.54,78.81,5,friday_close,3.03,62.8,20.0
2025-07-14 20:11,NG,Utilities,85,1048.85,1066.52,1031.18,1061.19,1072.85,5,friday_close,2.29,62.8,20.0
2025-07-14 20:11,NXT,Retail,85,12281.08,12486.8,12075.37,12424.37,12246.1,5,friday_close,-0.28,62.8,20.0
2025-07-21 20:11,NXT,Retail,95,12246.1,12433.95,12058.24,12371.78,12111.14,5,friday_close,-1.1,64.9,20.9
2025-07-21 20:11,SVT,Utilities,95,2721.52,2768.62,2674.42,2754.78,2642.53,5,friday_close,-2.9,64.9,20.9
2025-07-21 20:11,MRC,FinServices,95,254.47,257.77,251.17,256.48,253.47,5,friday_close,-0.39,64.9,20.9
2025-07-21 20:11,BLND,RealEstate,90,361.29,368.82,353.77,366.98,359.89,5,friday_close,-0.39,63.8,19.4
2025-07-21 20:11,CCH,ConsStaples,85,4012.0,4073.84,3950.16,4053.47,3912.0,5,friday_close,-2.49,62.8,18.0
2025-07-28 20:11,THRL,FinServices,95,101.55,104.53,98.58,104.01,98.96,5,friday_close,-2.56,64.9,24.5
2025-07-28 20:11,GSK,Pharma,80,1397.61,1430.5,1364.72,1423.35,1398.11,5,friday_close,0.04,61.7,19.3
2025-07-28 20:11,PSON,Media,80,1054.92,1069.86,1039.99,1064.51,1127.42,5,friday_close,6.87,61.7,19.3
2025-07-28 20:11,FGP,Leisure,80,221.17,231.64,210.7,230.48,229.77,5,friday_close,3.89,61.7,19.3
2025-07-28 20:11,SHEL,Energy,75,2686.14,2725.86,2646.42,2712.23,2681.14,5,friday_close,-0.19,60.7,17.6
2025-08-04 20:11,PRU,Insurance,85,950.34,967.02,933.67,962.18,968.74,5,friday_close,1.94,62.8,20.7
2025-08-04 20:11,UU,Utilities,85,1149.83,1170.02,1129.64,1164.17,1136.33,5,friday_close,-1.17,62.8,20.7
2025-08-04 20:11,FGP,Leisure,85,229.77,239.43,220.12,238.23,229.77,5,friday_close,0.0,62.8,20.7
2025-08-04 20:11,JFJ,FinServices,85,643.92,654.53,633.31,651.26,658.92,5,friday_close,2.33,62.8,20.7
2025-08-04 20:11,BA,Industrials,75,1835.37,1876.83,1793.91,1867.45,1715.88,5,friday_close,-6.51,60.7,17.3
2025-08-11 20:11,GPE,FinServices,100,337.97,346.17,329.77,344.44,314.47,5,friday_close,-6.95,65.9,26.6
2025-08-11 20:11,ZIG,Industrials,80,335.75,346.17,325.34,344.44,336.75,5,friday_close,0.3,61.7,19.6
2025-08-11 20:11,ANTO,Mining,75,2036.89,2088.08,1985.69,2077.64,2101.88,5,friday_close,3.19,60.7,17.9
2025-08-11 20:11,NWG,Banking,75,533.0,544.49,521.51,541.77,547.0,5,friday_close,2.63,60.7,17.9
2025-08-11 20:11,HTWS,Telecoms,75,121.6,124.65,118.55,124.03,124.4,5,friday_close,2.3,60.7,17.9
2025-08-18 20:11,EDIN,FinServices,110,794.85,803.08,786.63,799.06,815.85,4,friday_close,2.64,68.0,24.9
2025-08-18 20:11,SNR,Industrials,95,199.79,208.65,190.93,207.61,200.49,4,friday_close,0.35,64.9,20.6
2025-08-18 20:11,CCH,ConsStaples,90,3892.0,3963.69,3820.31,3943.87,3892.0,4,friday_close,0.0,63.8,19.1
2025-08-18 20:11,EDV,Mining,85,2485.5,2558.5,2412.51,2545.71,2551.49,4,friday_close,2.65,62.8,17.7
2025-08-18 20:11,JD,Retail,85,87.8,90.28,85.31,89.83,93.26,4,friday_close,6.22,62.8,17.7
2025-08-25 20:11,EXPN,Industrials,95,3868.82,3932.59,3805.05,3912.93,3821.82,5,friday_close,-1.21,64.9,20.9
2025-08-25 20:11,DNLM,Retail,95,1226.71,1253.28,1200.14,1247.01,1195.71,5,friday_close,-2.53,64.9,20.9
2025-08-25 20:11,QLT,FinServices,95,168.08,172.72,163.43,171.86,164.4,5,friday_close,-2.19,64.9,20.9
2025-08-25 20:11,MAB,Leisure,90,268.5,276.4,260.6,275.02,260.0,5,friday_close,-3.17,63.8,19.4
2025-08-25 20:11,ELM,Chemicals,85,168.2,172.49,163.91,171.63,163.0,5,friday_close,-3.09,62.8,18.0
2025-09-01 20:11,HTG,Energy,85,333.96,347.2,320.72,345.46,326.46,5,friday_close,-2.25,62.8,22.2
2025-09-01 20:11,INVP,FinServices,85,547.32,561.78,532.86,558.97,579.31,5,friday_close,5.84,62.8,22.2
